WALLS,
X,Y,Type,Object,
1099,420,0,W
1099,450,0,W
1099,480,0,W
1099,510,0,W
1099,540,0,W
1099,570,0,W
1099,600,0,W
1099,630,0,W
1099,660,0,W
1069,720,0,W
1069,750,0,W
1069,810,0,W
1069,840,0,W
1069,870,0,W
1069,900,0,W
1069,930,0,W
1069,960,0,W
1069,990,0,W
1039,1020,0,W
1069,1020,0,W
1039,1050,0,W
1069,1050,0,W
1039,1080,0,W
1069,1080,0,W
1039,1110,0,W
1069,1110,0,W
1039,1140,0,W
1069,1140,0,W
1039,1170,0,W
1069,1170,0,W
1069,1200,0,W
1099,1200,0,W
1099,1230,0,W
1129,1230,0,W
1729,1200,0,W
1759,1200,0,W
1789,1200,0,W
1819,1200,0,W
1219,1230,0,W
1249,1230,0,W
1279,1230,0,W
1309,1230,0,W
1399,1230,0,W
1489,1230,0,W
1579,1230,0,W
1609,1230,0,W
1669,1230,0,W
1699,1230,0,W
1729,1230,0,W
1759,1230,0,W
1789,1230,0,W
1909,570,0,W
1909,600,0,W
1909,630,0,W
1879,690,0,W
1909,690,0,W
1879,750,0,W
1879,810,0,W
1879,900,0,W
1849,930,0,W
1849,1020,0,W
1849,1050,0,W
1849,1080,0,W
1819,1110,0,W
1849,1110,0,W
1249,420,0,W
1279,420,0,W
1309,420,0,W
1459,450,0,W
1609,480,0,W
1759,480,0,W
1849,480,0,W
1849,510,0,W
1219,480,0,W
1249,480,0,W
1279,480,0,W
1309,480,0,W
1339,480,0,W
1369,480,0,W
1399,480,0,W
1429,480,0,W
1459,480,0,W
1489,480,0,W
1519,480,0,W
1549,480,0,W
1579,480,0,W
1639,480,0,W
1219,540,1,W
1309,540,1,W
1339,540,1,W
1369,540,1,W
1399,540,1,W
1429,540,1,W
1459,540,1,W
1489,540,1,W
1519,540,1,W
1549,540,1,W
1579,540,1,W
1639,540,1,W
1669,540,1,W
1729,540,1,W
1759,540,1,W
1219,570,1,W
1249,570,1,W
1279,570,1,W
1309,570,1,W
1339,570,1,W
1819,690,1,W
1789,720,1,W
1819,720,1,W
1789,750,1,W
1789,780,1,W
1789,810,1,W
1789,840,1,W
1789,870,1,W
1789,900,1,W
1759,930,1,W
1789,930,1,W
1759,960,1,W
1759,990,1,W
1729,1020,1,W
1759,1020,1,W
1699,1050,1,W
1729,1050,1,W
1699,1080,1,W
1729,1080,1,W
1579,1110,1,W
1609,1110,1,W
1639,1110,1,W
1669,1110,1,W
1489,1140,1,W
1519,1140,1,W
1549,1140,1,W
1579,1140,1,W
1609,1140,1,W
1429,1170,1,W
1459,1170,1,W
1189,660,1,W
1189,690,1,W
1189,720,1,W
1189,750,1,W
1189,780,1,W
1189,810,1,W
1189,840,1,W
1189,870,1,W
1189,900,1,W
1189,930,1,W
1189,960,1,W
1189,990,1,W
1189,1020,1,W
1189,1050,1,W
1219,1050,1,W
1219,1080,1,W
1219,1110,1,W
1369,660,2,W
1339,690,2,W
1369,690,2,W
1339,720,2,W
1339,750,2,W
1339,780,2,W
1339,810,2,W
1309,840,2,W
1339,840,2,W
1309,870,2,W
1309,900,2,W
1309,930,2,W
1309,960,2,W
1309,990,2,W
1309,1020,2,W
1309,1050,2,W
1639,750,2,W
1669,750,2,W
1639,780,2,W
1669,780,2,W
1639,810,2,W
1609,840,2,W
1609,870,2,W
1579,900,2,W
1609,900,2,W
1549,930,2,W
1579,930,2,W
1549,960,2,W
1489,1020,2,W
1519,1020,2,W
1489,1050,2,W
1519,1050,2,W
1399,1080,2,W
1429,1080,2,W
1459,1080,2,W
1579,600,2,W
1609,600,2,W
1639,600,2,W
1669,600,2,W
1699,600,2,W
1459,630,2,W
1489,630,2,W
1519,630,2,W
1549,630,2,W
1579,630,2,W
1699,630,2,W
1789,570,2,W
1789,600,2,W
1789,630,2,W
SPAWNERS,
X,Y,Type,Object,
1159,420,0,S
1669,420,0,S
1699,420,0,S
1369,1020,2,S
