WALLS,
X,Y,Type,Object,
1099,360,0,0
1099,390,0,0
1759,390,1,0
1099,420,0,0
1309,420,0,0
1399,420,0,0
1759,420,1,0
1099,450,0,0
1279,450,0,0
1309,450,0,0
1399,450,0,0
1459,450,0,0
1489,450,0,0
1759,450,1,0
1789,450,1,0
1099,480,0,0
1219,480,0,0
1249,480,0,0
1339,480,0,0
1579,480,0,0
1609,480,0,0
1309,510,0,0
1369,510,0,0
1609,510,0,0
1819,510,1,0
1099,540,0,0
1189,540,0,0
1429,540,0,0
1639,540,0,0
1819,540,1,0
1849,540,1,0
1099,570,0,0
1159,570,0,0
1279,570,0,0
1429,570,0,0
1819,570,1,0
1849,570,1,0
1129,600,0,0
1669,600,0,0
1849,600,1,0
1099,630,0,0
1099,660,0,0
1129,660,0,0
1279,660,0,0
1459,660,0,0
1579,660,0,0
1609,660,0,0
1639,660,0,0
1699,660,0,0
1099,690,0,0
1639,690,0,0
1669,690,0,0
1099,720,0,0
1279,720,0,0
1549,720,0,0
1099,750,0,0
1429,750,0,0
1459,750,0,0
1489,750,0,0
1519,750,0,0
1549,750,0,0
1639,750,0,0
1669,750,0,0
1099,780,0,0
1309,780,0,0
1399,780,0,0
1429,780,0,0
1459,780,0,0
1489,780,0,0
1519,780,0,0
1729,780,0,0
1759,780,0,0
1099,810,0,0
1129,810,0,0
1339,810,0,0
1399,810,0,0
1459,810,0,0
1489,810,0,0
1519,810,0,0
1729,810,0,0
1759,810,0,0
1129,840,0,0
1339,840,0,0
1399,840,0,0
1429,840,0,0
1459,840,0,0
1489,840,0,0
1519,840,0,0
1639,840,0,0
1129,870,0,0
1159,870,0,0
1309,870,0,0
1369,870,0,0
1399,870,0,0
1429,870,0,0
1459,870,0,0
1489,870,0,0
1519,870,0,0
1819,870,0,0
1159,900,0,0
1189,900,0,0
1219,900,0,0
1249,900,0,0
1309,900,0,0
1369,900,0,0
1519,900,0,0
1549,900,0,0
1579,900,0,0
1639,900,0,0
1759,900,0,0
1159,930,0,0
1369,930,0,0
1399,930,0,0
1579,930,0,0
1759,930,0,0
1189,960,0,0
1369,960,0,0
1399,960,0,0
1489,960,0,0
1519,960,0,0
1219,990,0,0
1429,990,0,0
1459,990,0,0
1759,990,0,0
1069,1020,2,0
1219,1020,0,0
1369,1020,0,0
1399,1020,0,0
1519,1020,0,0
1069,1050,2,0
1249,1050,0,0
1279,1050,0,0
1399,1050,0,0
1459,1050,0,0
1759,1050,0,0
1069,1080,2,0
1279,1080,0,0
1309,1080,0,0
1339,1080,0,0
1729,1080,0,0
1069,1110,2,0
1309,1110,0,0
1339,1110,0,0
1369,1110,0,0
1399,1110,0,0
1669,1110,0,0
1699,1110,0,0
1099,1140,2,0
1369,1140,0,0
1399,1140,0,0
1429,1140,0,0
1459,1140,0,0
1639,1140,0,0
1099,1170,2,0
1129,1170,2,0
1459,1170,0,0
1519,1170,0,0
1549,1170,0,0
1579,1170,0,0
1159,1200,2,0
1189,1200,2,0
1189,1230,2,0


SPAWNERS,
X,Y,Type,Object,
1189,390,0,1
1219,390,0,1
1249,390,0,1
1369,630,1,1
1399,630,1,1
1879,1170,2,1
