WALLS,
X,Y,Type,
1909,360,2
1309,390,1
1339,390,1
1909,390,2
1309,420,1
1459,420,1
1489,480,1
1519,480,1
1579,480,1
1189,510,0
1249,510,0
1279,510,0
1339,510,0
1399,510,0
1429,510,0
1459,510,0
1489,510,1
1039,540,0
1069,540,0
1099,540,0
1129,540,0
1459,540,1
1489,540,0
1219,600,1
1249,600,1
1219,630,1
1249,630,1
1429,630,1
1729,630,1
1609,660,0
1219,720,1
1399,750,1
1699,750,0
1729,750,0
1219,780,1
1249,780,1
1459,780,1
1699,780,0
1729,780,0
1789,780,1
1279,810,1
1309,810,1
1399,810,1
1729,810,0
1399,870,1
1729,870,0
1399,960,1
1819,960,1
1399,990,1
1699,990,0
1879,990,2
1429,1050,1
1669,1050,0
1849,1050,2
1429,1080,1
1459,1080,1
1789,1080,1
1819,1080,2
1609,1110,0
1729,1110,1
1759,1110,1
1519,1140,1
1549,1140,0
1579,1140,1
1639,1140,1
1729,1140,2
1759,1140,2
1279,1170,0
1309,1170,0
1339,1170,0
1369,1170,0
1399,1170,0
1429,1170,0
1459,1170,0
1489,1170,0
1639,1170,2
1669,1170,2
1699,1170,2
1249,1200,0
1279,1200,0
1639,1200,2
1669,1200,2
1249,1230,0
1279,1230,0
1309,1230,0
1459,1230,0
1489,1230,0
1549,1230,0
1579,1230,0


SPAWNERS,
X,Y,Type,
1159,1140,2
1189,1140,2
1219,1140,2
1279,690,1
1309,690,1
1339,690,1
1579,570,0
1579,630,0
1549,720,0
